Number	Track	Title	Authors
1023	Computational Social Science and Cultural Analytics	Hate Speech and Counter Speech Detection: Conversational Context Does Matter	Xinchen Yu, Eduardo Blanco, Lingzi Hong
1002	Computational Social Science and Cultural Analytics	A Holistic Framework for Analyzing the COVID-19 Vaccine Debate	Maria Leonor Pacheco, Tunazzina Islam, Monal Mahajan, Andrey Shor, Ming Yin, Lyle Ungar, Dan Goldwasser
975	Computational Social Science and Cultural Analytics	Conceptualizing Treatment Leakage in Text-based Causal Inference	Adel Daoud, Connor Thomas Jerzak, Richard Johansson
882	Computational Social Science and Cultural Analytics	Mitigating Toxic Degeneration with Empathetic Data: Exploring the Relationship Between Toxicity and Empathy	Allison Lahnala, Charles Welch, Béla Neuendorf, Lucie Flek
852	Computational Social Science and Cultural Analytics	Counterfactually Augmented Data and Unintended Bias: The Case of Sexism and Hate Speech Detection	Indira Sen, Mattia Samory, Claudia Wagner, Isabelle Augenstein
351	Computational Social Science and Cultural Analytics	Combining Humor and Sarcasm for Improving Political Parody Detection	Xiao Ao, Danae Sanchez Villegas, Daniel Preotiuc-Pietro, Nikolaos Aletras
255	Computational Social Science and Cultural Analytics	{H}atemoji: A Test Suite and Adversarially-Generated Dataset for Benchmarking and Detecting Emoji-Based Hate	Hannah Rose Kirk, Bertie Vidgen, Paul Rottger, Tristan Thrush, Scott A. Hale
42	Computational Social Science and Cultural Analytics	Political Ideology and Polarization: A Multi-dimensional Approach	Barea Sinno, Bernardo Oviedo, Katherine Atwell, Malihe Alikhani, Junyi Jessy Li
1010	Dialogue and Interactive systems	You Don’t Know My Favorite Color: Preventing Dialogue Representations from Revealing Speakers’ Private Personas	Haoran Li, Yangqiu Song, Lixin Fan
1001	Dialogue and Interactive systems	Less is More: Learning to Refine Dialogue History for Personalized Dialogue Generation	Hanxun Zhong, Zhicheng Dou, Yutao Zhu, Hongjin Qian, Ji-Rong Wen
941	Dialogue and Interactive systems	On the Origin of Hallucinations in Conversational Models: Is it the Datasets or the Models?	Nouha Dziri, Sivan Milton, Mo Yu, Osmar Zaiane, Siva Reddy
926	Dialogue and Interactive systems	Partner Personas Generation for Dialogue Response Generation	Hongyuan Lu, Wai Lam, Hong Cheng, Helen M. Meng
913	Dialogue and Interactive systems	Meet Your Favorite Character: Open-domain Chatbot Mimicking Fictional Characters with only a Few Utterances	Seungju Han, Beomsu Kim, Jin Yong Yoo, Seokjun Seo, Sangbum Kim, Enkhbayar Erdenee, Buru Chang
871	Dialogue and Interactive systems	Mining Clues from Incomplete Utterance: A Query-enhanced Network for Incomplete Utterance Rewriting	Shuzheng Si, Shuang Zeng, Baobao Chang
861	Dialogue and Interactive systems	Learning as Conversation: Dialogue Systems Reinforced for Information Acquisition	Pengshan Cai, Hui Wan, Fei Liu, Mo Yu, hong yu, Sachindra Joshi
849	Dialogue and Interactive systems	Disentangling Indirect Answers to Yes-No Questions in Real Conversations	Krishna Chaitanya Sanagavarapu, Jathin Pranav Singaraju, Anusha Kakileti, Anirudh Kaza, Aaron Abraham Mathews, Helen Li, Nathan Raul Brito, Eduardo Blanco
838	Dialogue and Interactive systems	Show, Don't Tell: Demonstrations Outperform Descriptions for Schema-Guided Task-Oriented Dialogue	Raghav Gupta, Harrison Lee, Jeffrey Zhao, Yuan Cao, Abhinav Rastogi, Yonghui Wu
833	Dialogue and Interactive systems	CHAI: A CHatbot AI for Task-Oriented Dialogue with Offline Reinforcement Learning	Siddharth Verma, Justin Fu, Sherry Yang, Sergey Levine
789	Dialogue and Interactive systems	AISFG: Abundant Information Slot Filling Generator	Yang Yan, Junda Ye, Zhongbao Zhang, Liwen Wang
